Item,Gluten-Free
Baek pal al Yeh Bled,1
Basie,1
Zs HEARTY MAN S COMBO,1
two,1
Applawood,1
two,1
mach rownsorbrelfat,1
one,1
hese,1
Sgs,1
Agleood,1
thie ange,1
shee ranch teat,1
rey ahora,1
otato,1
sffowe,1
heen sos orto,1
USDA,1
uteri,1
SGD,1
two,1
iWice,1
Two,1
wacniricenr seven,1
two,1
Gros,1
Aemacanchsese,1
two,1
Srbralat,1
Banca,1
Two,1
amcan,1
Reckauage Aplonood,1
bon aol ham,1
ga wwe sg,1
bin ot cin enn Adal,1
ma NONE Ths,1
ronson,1
Cormier aes,1
Six,1
mayo Served,1
SESS,1
American,1
MCFARLAIN S,1
Four,1
Grandma McFarlain,1
two,1
creamy gravy Served,1
two,1
white brown gravy,1
Pepper Jack,1
American,1
two,1
mayo Served,1
BLACK BLUE BURGER,1
Cajun,1
American,1
two,1
two,1
Premium Sider Add BAKED POTATO STEAMED BROCCOLI,1
Eye,1
Gay Gascon Caceres,1
DYanduiches Chow Mein,1
Chop Suey,1
Side Order French Fries,1
ROASTED BONE MARROW Stockyard,1
Apricot Chili,1
Jam Ask,1
Marinara Pistachio,1
Pesto Burrata,1
Red Onions,1
Basil Balsamic Glaze,1
Jumbo Shrimp,1
Herb Butter,1
Arugula Lemon,1
Basil Vinaigrette FIORI DI,1
Apricot Chile,1
Prosciutto Di Parma,1
Sirloin Pecorino Sugo,1
HALF DOZEN,1
Italian,1
Pecans,1
ps Spaghettini,1
Pistachio Pesto Panna,1
White Truffle,1
FRUTTI DI MARE Linguine Mussels Clams Jumbo Shrimp Seafood Brodo,1
Broccoli Rabe Garlic,1
Pecorino,1
Mary s Organic Chicken,1
Sicilian,1
Gluten Free Cauliflower,1
White Truffle,1
Basil DOLCE,1
Lavender Honey Bermuda Onions,1
Grana Padano,1
Basil SIDES ROASTED CARROTS,1
Herloom Carrot Medley Balsamic Glaze,1
SATURDAY,1
Ridley Farms,1
BANGER,1
Evergreen Creamery CUP OF GRAVY BISCUITS,1
APPLE,1
DRINKS Served,1
APPLE,1
ORANGE JUICE HOT CHOCOLATE,1
BURRITO,1
Maria s Pico de Gallo,1
Soup al Appetigens Our Chef Does Not Believe,1
the Stick Teriyaki Chicken Stick Cold Spicy Squid,1
Corn Soup Sm Lg,1
Al Seafood Soup,1
Fillet Soup,1
Food Images for Reference Only,1
Dean s Restaurant Bakery Soul Souter,1
one,1
Bacon,1
Portuguese,1
jalapefio green chilies,1
Two,1
Breakfast Wrap,1
